,mail,clean_mail,num_characters,num_words,num_sentences,ham_or_spam
82,Ok i am on the way to home hi hi,ok way home hi hi,32,10,1,0
83,You will be in the place of that man,place man,36,9,1,0
84,Yup next stop.,yup next stop,14,4,1,0
85,"I call you later, don't have network. If urgnt, sms me.",call later nt network urgnt sm,55,16,2,0
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u get yo need 2 ticket one jacket m done alreadi use multi,121,30,3,0
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ye start send request make pain came back m back bed doubl coin factori got ta cash nitro,144,36,3,0
88,I'm really not up to it still tonight babe,m realli still tonight babe,42,10,1,0
89,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free,41,11,1,0
90,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,yeah stand close tho catch someth,62,12,2,0
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri pain ok meet anoth night spent late afternoon casualti mean nt done stuff42moro includ time sheet sorri,195,44,4,0
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,141,28,2,0
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres 0800 169 6031 10am9pm guarante cash prize,139,24,1,1
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,107,23,3,0
95,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free rington wait collect simpli text password mix 85069 verifi get usher britney fml,125,26,4,1
96,Watching telugu movie..wat abt u?,watch telugu movi wat abt u,33,8,1,0
97,i see. When we finish we have loads of loans to pay,see finish load loan pay,51,13,2,0
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""_x000D_ham""",hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u x000dham,190,47,5,0
99,Please don't text me anymore. I have nothing else to say.,pleas nt text anymor noth els say,57,14,2,0
100,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen pick u ave x am xx,81,23,3,0
101,I'm still looking for a car to buy. And have not gone 4the driving test yet.,m still look car buy gone 4the drive test yet,76,19,2,0
103,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow re right nt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,183,44,5,0
104,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,44,10,1,0
105,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truli memor,95,19,2,0
106,"Aight, I'll hit you up when I get some cash",aight ll hit get cash,43,12,1,0
107,How would my ip address test that considering my computer isn't a minecraft server,would ip address test consid comput nt minecraft server,82,15,1,0
108,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpi old peopl mom like better lie alway one play joke,115,28,4,0
109,Dont worry. I guess he's busy.,dont worri guess s busi,30,9,2,0
110,What is the plural of the noun research?,plural noun research,40,9,1,0
111,Going for dinner.msg you after.,go dinnermsg,31,6,1,0
112,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,m ok wif co like 2 tri new thing scare u dun like mah co u said loud,96,28,3,0
113,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent tri contact last weekend draw show prize guarante call 09064012160 claim code k52 valid 12hr 150ppm,159,33,7,1
114,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentenc formal anyway m fine juz tt m eatin much n puttin weight haha anythin special happen,143,34,3,0
115,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went,156,40,6,0
116,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18,153,32,1,1
117,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo ye must speak friday eggpotato ratio tortilla need,72,14,2,0
118,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncl inform s pay school directli pl buy food,86,20,2,0
119,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,144,23,3,1
120,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobil award bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm,157,30,4,1
121,here is my new address -apples&pairs&all that malarky,new address appl pair malarki,53,12,1,0
122,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,156,29,2,1
123,I am going to sao mu today. Will be done only at 12 ,go sao mu today done 12,52,14,2,0
124,ÌÏ predict wat time Ì_'ll finish buying?,ìï predict wat time ì ll finish buy,40,9,1,0
125,"Good stuff, will do.",good stuff,20,6,1,0
126,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",know yetund nt sent money yet sent text bother send dont involv anyth nt impos anyth first place apologis,244,56,4,0
127,Are you there in room.,room,22,6,1,0
128,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107,31,5,0
129,K..k:)how much does it cost?,k k much cost,28,11,1,0
130,I'm home.,m home,9,4,1,0
131,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrowpl accomod,39,7,1,0
132,First answer my question.,first answer question,25,5,1,0
133,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 sp tyron,126,29,3,1
134,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk s largest dog network bt txting gravel 69888 nt ec2a 31pmsg 150p,162,36,6,1
135,I only haf msn. It's yijue@hotmail.com,haf msn s yiju hotmailcom,38,10,2,0
136,He is there. You call and meet him,call meet,34,9,2,0
137,No no. I will check all rooms befor activities,check room befor activ,46,10,2,0
138,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,ll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,155,35,2,1
139,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c lazi type forgot ì lect saw pouch like v nice,86,24,4,0
140,"K, text me when you're on the way",k text re way,33,10,1,0
141,"Sir, Waiting for your mail.",sir wait mail,27,7,1,0
142,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,158,34,1,0
143,I know you are. Can you pls open the back?,know pl open back,42,12,2,0
144,Yes see ya not on the dot,ye see ya dot,25,7,1,0
145,Whats the staff name who is taking class for us?,what staff name take class us,48,11,1,0
146,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg nt repli text m randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end,159,35,3,1
147,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawil call check inour life begin qatar pl pray hard,84,16,1,0
148,K..i deleted my contact that why?,k delet contact,33,9,1,0
149,Sindu got job in birla soft ..,sindu got job birla soft,30,7,1,0
150,The wine is flowing and i'm i have nevering..,wine flow m never,45,11,1,0
151,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need 2 go 2 plaza mah,59,16,1,0
152,Ok... Ur typical reply...,ok ur typic repli,25,6,1,0
154,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,384,95,5,0
155,Aaooooright are you at work?,aaooooright work,28,6,1,0
156,I'm leaving my house now...,m leav hous,27,7,1,0
157,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love get interview today happi good boy think miss,157,41,6,0
158,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,124,21,3,1
159,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,146,30,1,1
160,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe need miss alreadi envi everyon see s real life,115,25,1,0
161,New car and house for my parents.:)i have only new job in hand:),new car hous parent new job hand,64,19,2,0
162,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,m love m excit day spend make happi,85,24,3,0
163,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468,152,29,3,1
164,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu,155,35,5,1
165,I place all ur points on e cultures module already.,place ur point e cultur modul alreadi,51,11,1,0
166,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent tri contact last weekend draw show prize guarante call 09061701939 claim code s89 valid 12hr,157,32,6,1
167,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstd wit belov one s,74,16,1,0
168,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escap fanci bridg need lager see tomo,67,15,3,0
169,Yes :)it completely in out of form:)clark also utter waste.,ye complet form clark also utter wast,59,16,1,0
170,"Sir, I need AXIS BANK account no and bank address.",sir need axi bank account bank address,50,12,1,0
171,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,94,25,2,0
172,What time you coming down later? ,time come later,33,7,1,0
173,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,105,24,2,0
174,"Well, i'm gonna finish my bath now. Have a good...fine night.",well m gon na finish bath good fine night,61,18,2,0
175,Let me know when you've got the money so carlos can make the call,let know ve got money carlo make call,65,15,1,0
176,U still going to the mall?,u still go mall,26,7,1,0
177,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay whole show wo nt back til lt gt feel free go ahead smoke lt gt worth,146,43,1,0
178,Text her. If she doesnt reply let me know so i can have her log in,text doesnt repli let know log,66,17,2,0
179,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi spoke maneesha v d like know satisfi experi repli toll free ye,126,29,3,0
180,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,159,34,4,0
181,Lol no. U can trust me.,lol u trust,23,8,2,0
182,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat digniti respect,65,15,2,0
183,"He will, you guys close?",guy close,24,7,1,0
184,Going on nothing great.bye,go noth greatby,26,4,1,0
185,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsom find job lazi work toward get back net mummi s boytoy miss,152,33,6,0
186,"Haha awesome, be there in a minute",haha awesom minut,34,8,1,0
187,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante cash prize,149,25,1,1
188,Have you got Xmas radio times. If not i will get it now,got xma radio time get,55,14,2,0
189,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ju reach home go bath first si use net tell u finish k,88,22,3,0
190,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,uniqu enough find 30th august wwwareyouuniquecouk,72,12,3,1
191,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,m sorri ve join leagu peopl dont keep touch mean great deal friend time even great person cost great week,185,44,5,0
192,Hi :)finally i completed the course:),hi final complet cours,37,10,1,0
193,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop howev suggest stay someon abl give or everi stool,111,24,2,0
194,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope ve settl new school year wishin gr8 day,92,22,3,0
195,Gud mrng dear hav a nice day,gud mrng dear hav nice day,28,7,1,0
196,Did u got that persons story,u got person stori,28,6,1,0
197,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet 1pm orchard mrt,64,16,2,0
198,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,131,34,4,0
199,"Found it, ENC  &lt;#&gt; , where you at?",found enc lt gt,40,16,1,0
200,I sent you  &lt;#&gt;  bucks,sent lt gt buck,28,11,1,0
201,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finish colleg txt u finish u love kate xxx,84,18,1,0
202,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,174,44,3,0
203,Goodmorning sleeping ga.,goodmorn sleep ga,24,4,1,0
204,U call me alter at 11 ok.,u call alter 11 ok,25,8,1,0
205,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ìï say like dat dun buy ericsson oso oredi lar,64,15,1,0
207,"Aight yo, dats straight dogg",aight yo dat straight dogg,28,6,1,0
208,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,pleas give us connect today lt decim gt refund bill,86,19,1,0
209,Both :) i shoot big loads so get ready!,shoot big load get readi,39,11,1,0
210,"What's up bruv, hope you had a great break. Do have a rewarding semester.",s bruv hope great break reward semest,73,18,2,0
211,Home so we can always chat,home alway chat,26,6,1,0
212,K:)k:)good:)study well.,k k good studi well,23,12,1,0
213,Yup... How Ì_ noe leh...,yup ì noe leh,24,7,1,0
214,Sounds great! Are you home now?,sound great home,31,8,2,0
