clean_mail,num_characters,num_sentences,target
know yetund nt sent money yet sent text bother send dont involv anyth nt impos anyth first place apologis,244,4,0
room,22,1,0
hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107,5,0
k k much cost,28,1,0
m home,9,1,0
dear call tmorrowpl accomod,39,1,0
first answer question,25,1,0
sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 sp tyron,126,3,1
want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk s largest dog network bt txting gravel 69888 nt ec2a 31pmsg 150p,162,6,1
haf msn s yiju hotmailcom,38,2,0
call meet,34,2,0
check room befor activ,46,2,0
ll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,155,2,1
got c lazi type forgot ì lect saw pouch like v nice,86,4,0
k text re way,33,1,0
sir wait mail,27,1,0
swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,158,1,0
know pl open back,42,2,0
ye see ya dot,25,1,0
what staff name take class us,48,1,0
freemsg nt repli text m randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end,159,3,1
ummmawil call check inour life begin qatar pl pray hard,84,1,0
k delet contact,33,1,0
sindu got job birla soft,30,1,0
wine flow m never,45,1,0
yup thk cine better co need 2 go 2 plaza mah,59,1,0
ok ur typic repli,25,1,0
everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,384,5,0
aaooooright work,28,1,0
m leav hous,27,1,0
hello love get interview today happi good boy think miss,157,6,0
custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,124,3,1
winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,146,1,1
keep safe need miss alreadi envi everyon see s real life,115,1,0
new car hous parent new job hand,64,2,0
m love m excit day spend make happi,85,3,0
pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468,152,3,1
bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu,155,5,1
place ur point e cultur modul alreadi,51,1,0
urgent tri contact last weekend draw show prize guarante call 09061701939 claim code s89 valid 12hr,157,6,1
hi frnd best way avoid missunderstd wit belov one s,74,1,0
great escap fanci bridg need lager see tomo,67,3,0
ye complet form clark also utter wast,59,1,0
sir need axi bank account bank address,50,1,0
hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,94,2,0
time come later,33,1,0
bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,105,2,0
well m gon na finish bath good fine night,61,2,0
let know ve got money carlo make call,65,1,0
u still go mall,26,1,0
turn friend stay whole show wo nt back til lt gt feel free go ahead smoke lt gt worth,146,1,0
text doesnt repli let know log,66,2,0
hi spoke maneesha v d like know satisfi experi repli toll free ye,126,3,0
lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,159,4,0
lol u trust,23,2,0
ok gentleman treat digniti respect,65,2,0
guy close,24,1,0
go noth greatby,26,1,0
hello handsom find job lazi work toward get back net mummi s boytoy miss,152,6,0
haha awesom minut,34,1,0
pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante cash prize,149,1,1
got xma radio time get,55,2,0
ju reach home go bath first si use net tell u finish k,88,3,0
uniqu enough find 30th august wwwareyouuniquecouk,72,3,1
m sorri ve join leagu peopl dont keep touch mean great deal friend time even great person cost great week,185,5,0
hi final complet cours,37,1,0
stop howev suggest stay someon abl give or everi stool,111,2,0
hope ve settl new school year wishin gr8 day,92,3,0
gud mrng dear hav nice day,28,1,0
u got person stori,28,1,0
hamster dead hey tmr meet 1pm orchard mrt,64,2,0
hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,131,4,0
found enc lt gt,40,1,0
sent lt gt buck,28,1,0
hello darlin ive finish colleg txt u finish u love kate xxx,84,1,0
account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,174,3,0
goodmorn sleep ga,24,1,0
u call alter 11 ok,25,1,0
ìï say like dat dun buy ericsson oso oredi lar,64,1,0
aight yo dat straight dogg,28,1,0
pleas give us connect today lt decim gt refund bill,86,1,0
shoot big load get readi,39,1,0
s bruv hope great break reward semest,73,2,0
home alway chat,26,1,0
k k good studi well,23,1,0
yup ì noe leh,24,1,0
sound great home,31,2,0
final match head toward draw predict,58,1,0
tire nt slept well past night,48,2,0
easi ah sen got select mean good,41,1,0
take exam march 3,32,1,0
yeah think use gt atm regist sure s anyway help let know sure readi,159,4,0
ok prob take ur time,25,2,0
os call ubandu run without instal hard disk use os copi import file system give repair shop,161,1,0
u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,119,3,0
500 new mobil 2004 must go txt nokia 89545 collect today www4tcbiz 2optout 08718726270150gbpmtmsg18,143,2,1
would realli appreci call need someon talk,69,2,0
u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari,137,3,1
hey compani elama po mudyadhu,30,1,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,165,4,0
dear good morn,34,1,0
get gandhipuram walk cross cut road right side lt gt street road turn first right,109,2,0
dear go rubber place,37,1,0
sorri batteri die yeah m,33,1,0
ye tv alway avail work place,48,1,0
text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recd thirtyeight penc,157,5,1
print oh lt gt come upstair,50,2,0
ill littl closer like bu stop street,65,1,0
wil reach,38,1,0
new theori argument win situat lose person dont argu ur friend kick amp say m alway correct,145,6,0
u 447801259231 secret admir look 2 make contact ufind r reveal think ur specialcal 09058094597,145,1,1
tomarrow final hear laptop case cant,51,1,0
pleassssssseeeee tel v avent done sportsx,45,1,0
okay shine meant sign sound better,83,3,0
although told u dat m baig face watch realli like e watch u gave co s fr u thanx 4 everyth dat u ve done today m touch,155,1,0
u nt rememb old commerci,37,1,0
late said websit nt dont slipper,78,3,0
ask call ok,30,1,0
kalli wont bat 2nd inning,31,1,0
didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep,146,4,0
congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,150,1,1
ranjith cal drpd deeraj deepak 5min hold,44,1,0
wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,179,2,0
,27,1,0
up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,179,2,0
m back lem know re readi,38,1,0
nt necessarili expect done get back though m headin,97,1,0
mmm yummi babe nice jolt suzi,43,1,0
lover need,36,2,0
tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,154,5,1
park next mini come today think,74,2,0
yup,3,1,0
anyway m go shop co si done yet dun disturb u liao,85,3,0
luton 0125698789 ring ur around h,51,3,0
hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,121,1,1
dint come us,26,1,0
wana plan trip sometm,35,2,0
sure yet still tri get hold,47,1,0
ur rington servic chang 25 free credit go club4mobilescom choos content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,159,6,1
evo download flash jealou,47,3,0
rington club get uk singl chart mobil week choos top qualiti rington messag free charg,133,2,1
come mu re sort narcot situat,53,1,0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,147,2,0
hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info www100percentrealcom,155,4,1
usf guess might well take 1 car,37,1,0
object bf come,31,2,0
thanx,8,1,0
tell rob mack gf theater,38,1,0
awesom ll see bit,30,1,0
sent type food like,47,2,0
done hand celebr full swing yet,56,3,0
got call tool,22,1,0
wen u miss someon,19,1,0
ok ask money far,29,2,0
oki,7,1,0
yeah think usual guy s still pass last night get ahold anybodi let know ll throw,121,1,0
k might come tonight class let earli,58,1,0
ok,4,1,0
hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,148,2,0
life mean lot love life love peopl life world call friend call world ge,160,1,0
dear shall mail tonitebusi street shall updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens,152,1,0
hey told name gautham ah,37,1,0
haf u found feel stupid da v cam work,55,2,0
oop 4 got bit,21,2,0
much buzi,22,1,0
accident delet messag resend pleas,50,2,0
tmobil custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 3680offer end 28thfebt c s appli,159,2,1
unless s situat go gurl would appropri,67,1,0
hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,153,2,0
cant pick phone right pl send messag,51,2,0
need coffe run tomo ca nt believ s time week alreadi,67,1,0
awesom rememb last time got somebodi high first time diesel v,88,1,0
shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,157,3,0
oh way food fridg want go meal tonight,91,2,0
womdarful actor,24,1,0
sm ac blind date 4u rodds1 21m aberdeen unit kingdom check http img sm acwicmb3cktz8r7 4 blind date send hide,146,6,1
yup remb think book,57,2,0
jo ask u wana meet,26,1,0
lol ye friendship hang thread caus u wo nt buy stuff,71,2,0
themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,138,1,1
garag key nt bookshelf,55,2,0
today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156,2,0
think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz 16 gbp150week,134,4,1
say ll give call friend s got money s definit buy end week,119,1,0
hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost,142,3,0
made day great day,41,2,0
kk advanc happi pongal,26,1,0
hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119,2,0
realli dude friend m afraid,46,1,0
decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906,157,4,1
coffe cake guess,23,1,0
merri christma babe love ya kiss,51,1,0
hey dont go watch x men lunch haha,62,1,0
cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 1 pete x,107,2,0
would great ll guild could meet bristol road somewher get touch weekend plan take flight good week,157,5,0
problem,30,2,0
hi da today class,31,1,0
d say s good sign well know track record read women,79,1,0
cool text re park,32,1,0
m read text sent meant joke read light,86,3,0
kk apo kgood movi,22,1,0
mayb could get book tomo return immedi someth,76,2,0
call germani 1 penc per minut call fix line via access number 0844 861 85 85 prepay direct access,128,4,1
chanc might evapor soon violat privaci steal phone number employ s paperwork cool pleas contact report supervisor,232,3,0
valentin day special win quiz take partner trip lifetim send go 83600 150pmsg rcvd custcare08718720201,159,5,1
tadaaaaa home babe still,45,2,0
cool come havent wine dine,57,2,0
sleep surf,26,1,0
u call right call hand phone,41,2,0
ok s great thanx lot,28,1,0
take post come must 1000 text happi read one wiv hello carolin end favourit bless,151,5,0
u hide stranger,29,1,0
interest like,34,1,0
sister clear two round birla soft yesterday,52,1,0
gudnit tc practic go,33,1,0
di yiju ju saw ur mail case huim havent sent u num di num,85,4,0
one small prestig problem,31,1,0
fanci shag dointerest sextextukcom txt xxuk suzi 69876 txt cost 150 per msg tnc websit x,111,6,1
check realli miss see jeremiah great month,78,3,0
nah ca nt help ve never iphon,50,1,0
re car hour half m go apeshit,63,1,0
today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault m basic good,148,3,0
yo guy ever figur much need alcohol jay tri figur much safe spend weed,129,2,0
lt gt ish minut 5 minut ago wtf,45,2,0
thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tissco tayseer,202,1,0
ur cashbal current 500 pound maxim ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422land roww1j6hl,148,2,1
m actor work work even sleep late sinc m unemploy moment alway sleep late re unemploy everi day saturday,168,4,0
hello got st andrewsboy long way cold keep post,85,4,0
ha ha cool cool chikku chikku db,38,1,0
oh ok prob,15,1,0
check audrey s statu right,31,1,0
busi tri finish new year look forward final meet,88,3,0
good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,160,5,0
well know z take care worri,50,2,0
updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402 call2optoutf4q,165,4,1
discount code rp176781 stop messag repli stop wwwregalportfoliocouk custom servic 08717205546,129,4,1
wat uniform get,26,2,0
cool text re readi,31,1,0
hello boytoy geeee miss alreadi woke wish bed cuddl love,129,3,0
spoil bed well,34,1,0
m go bath msg next lt gt min,54,1,0
cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,162,2,0
thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994,157,3,1
say happen,23,1,0
could seen didt recognis face,53,2,0
well s lot thing happen lindsay new year sigh bar ptbo blue heron someth go,131,1,0
keep payasam rinu bring,36,1,0
taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,143,4,0
guess s worri must know s way bodi repair m quit sure nt worri ll take slow first test guid ovul relax noth ve said reason worri ill keep followin,300,6,0
yeah sure give coupl minut track wallet,59,1,0
hey leav big deal take care,42,2,0
hey late ah meet 945,41,1,0
doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx,149,3,1
took mr owl 3 lick,22,1,0
custom place call,31,1,0
mm time dont like fun,30,1,0
4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt,155,4,1
yup lunch buffet u eat alreadi,47,1,0
huh late fr dinner,25,1,0
hey sat go intro pilat kickbox,80,2,0
morn ok,22,1,0
ye think offic lap room think that last day didnt shut,115,3,0
pick bout 730ish time go,56,2,0
perform award calcul everi two monthnot current one month period,102,1,0
actual sleep still might u call back text gr8 rock si send u text wen wake,118,4,0
alway put busi put pictur ass facebook one open peopl ve ever met would think pictur room would hurt make feel violat,221,4,0
good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseer tissco joinedhop fineinshah allah meet sometimerakhesh visitor india,204,1,0
hmmm k want chang field quickli da wan na get system administr network administr,114,1,0
free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop,158,3,1
dear chechi talk,39,2,0
hair cream ship,36,1,0
none s happen til get though,48,1,0
yep great loxahatche xma tree burn lt gt start hour,77,1,0
haha get use drive usf man know lot stoner,60,1,0
well slightli disastr class pm fav darl hope day ok coffe wld good ca nt stay late tomorrow time place alway,168,3,0
hello good week fanci drink someth later,51,3,0
headin toward busetop,22,1,0
messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via fullonsmscom,152,1,0
come room point iron plan weekend,75,1,0
co want thing,30,1,0
oki ll go yan jiu skip ard oso go cine den go mrt one blah blah blah,95,2,0
bring home wendi d,24,1,0
100 date servic cal l 09064012103 box334sk38ch,49,1,1
whatsup dont u want sleep,35,2,0
alright new goal,29,1,0
free entri weekli competit text word win 80086 18 c wwwtxttowincouk,107,2,1
alright ll head minut text meet,66,1,0
send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,159,3,1
ye last week m take live call,48,1,0
someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p,162,3,1
siva hostel aha,24,1,0
urgent mobil number award prize guarante call 09058094455 land line claim 3030 valid 12hr,137,5,1
send ur friend receiv someth ur voic speak express 1childish 2naughti 3sentiment 4rowdi 5ful attitud 6romant 7shi 8attract 9funni lt gt irrit lt gt lovabl repli,248,3,0
ok ll ok guess,25,2,0
aathi dear,27,1,0
pain urin thing els,37,1,0
7 esplanad ì mind give lift co got car today,69,1,0
wnt buy bmw car urgent vri urgentbut hv shortag lt gt lacsther sourc arng di amt lt gt lac that prob,150,2,0
home watch tv lor,24,1,0
usual take fifteen fuck minut respond ye question,80,1,0
congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx,157,2,1
book ticket pongal,25,1,0
avail m like right around hillsborough amp lt gt th,73,2,0
messag sent askin lt gt dollar shoul pay lt gt lt gt,89,2,0
ask g iouri ve told stori like ten time alreadi,58,1,0
long applebe fuck take,36,1,0
hi hope u get txtjourney hasnt gd 50 min late think,76,1,0
like love arrang,47,2,0
ye realli great bhaji told kalli best cricket sachin world veri tough get,104,1,0
suppos wake gt,38,1,0
oic saw tot din c found group liao,69,3,0
hey hey wereth monkeespeopl say monkeyaround howdi gorgeou,66,2,0
sorri batteri die come m get gram s place,94,1,0
well done blimey exercis yeah kinda rememb wot hmm,70,1,0
wont get concentr dear know mind everyth,73,1,0
lol made plan new year,42,1,0
10 min later k,17,1,0
hank lotsli,13,1,0
thank hope good day today,45,1,0
k k detail want transfer acc enough,57,1,0
ok tell stay yeah tough optimist thing improv month,105,2,0
loan purpos homeown tenant welcom previous refus still help call free 0800 1956669 text back help,164,5,1
si si think ill go make oreo truffl,47,2,0
look ami ure beauti intellig woman like u lot know u donåõt like like donåõt worri,117,2,0
hope s result consist intellig kind start ask practicum link keep ear open best ttyl,158,3,0
120 call cost guess isnt bad miss ya need ya want ya love ya,79,3,0
go thru differ feelingwav decis cope individualtim heal everyth believ,142,1,0
u go phone gon na die stay,62,2,0
great never better day give even reason thank god,71,3,0
upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 9153 offer end 26th juli c s appli optout avail,175,5,1
sorri ll call later ok bye,29,1,0
ok way railway,29,1,0
great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,148,5,0
nt put stuff road keep get slipperi,83,1,0
go ride bike,37,1,0
yup need ll ju wait 4 e rain 2 stop,44,2,0
mani compani tell languag,45,2,0
okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm,161,3,1
long sinc scream princess,50,1,0
noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differb sure trust 9ja person send account detail co,298,4,0
want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk s largest dog network txting moan 69888nyt ec2a 31pmsg 150p,159,5,1
nice line said broken heart plz nt cum 1 time infront wise trust u good 9t,125,1,0
ok m gon na head usf like fifteen minut,51,1,0
love aathi love u lot,28,1,0
tension ah machi problem,34,1,0
k pick anoth 8th re done,46,1,0
re guy get back g said think stay mcr,81,2,0
almost see u sec,28,1,0
yo carlo friend alreadi ask work weekend,90,1,0
watch tv lor,18,1,0
thank babi cant wait tast real thing,54,2,0
chang fb jaykwon thuglyf falconerf,55,1,0
win realli 1 side long time,45,1,0
free messag activ 500 free text messag repli messag word free term condit visit www07781482378com,146,1,1
dear reach railway happen,40,2,0
depend qualiti want type sent boy fade glori 6 want ralph mayb 2,107,3,0
think ve fix send test messag,50,1,0
sorri man account s dri would want could trade back half could buy shit credit card,120,1,0
congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss,160,7,1
sorri meet ll call later,32,1,0
class lt gt reunion,34,1,0
free call,32,1,0
got meh,16,2,0
nope think go monday sorri repli late,67,3,0
told accentur confirm true,55,2,0
kate jackson rec center 7ish right,43,1,0
dear reach room,23,1,0
fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,149,1,0
ì come,21,1,0
check nuerologist,23,1,0
lolnic went fish water,40,3,0
123 congratul week s competit draw u prize claim call 09050002311 b4280703 csstop sm 08718727868 18 150ppm,170,3,1
s wait e car dat s bore wat co wait outsid got noth 2 home stuff watch tv wat,117,3,0
mayb westshor hyde park villag place near hous,62,1,0
know s anthoni bring money ve school fee pay rent stuff like that need help friend need,166,6,0
s signific,24,1,0
opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli,136,11,0
8 latest g s still scroung ammo want give new ak tri,99,1,0
prabha m soryda reali frm heart m sori,45,1,0
lol ok forgiven,23,1,0
jst chang tat,25,1,0
guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18,148,3,1
competit,26,1,0
boltblu tone 150p repli poli mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt,146,6,1
credit top http wwwbubbletextcom renew pin tgxxrz,89,1,1
way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri,168,3,0
usual person unconsci s children adult may behav abnorm ill call,117,2,0
s ebay might less elsewher,46,1,0
shall come get pickl,26,1,0
gon na go get taco,28,1,0
s rude campu,32,1,0
urgent mobil award bonu caller prize 020903 2nd attempt contact call 08718729755 box95qu,145,5,1
hi wo nt b ard 4 christma enjoy n merri xma,57,2,0
today s offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs 08717898035 sub 16 unsub repli x,160,7,1
